Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-08,10.2,10.2,10.2,10.2,0,0.0,0
2019-07-09,10.19,10.19,10.19,10.19,0,0.0,0
2019-07-10,10.21,10.21,10.21,10.21,0,0.0,0
2019-07-11,10.19,10.19,10.19,10.19,0,0.0,0
2019-07-12,10.2,10.2,10.2,10.2,0,0.0,0
2019-07-15,10.21,10.21,10.21,10.21,0,0.0,0
2019-07-16,10.2,10.2,10.2,10.2,0,0.0,0
2019-07-17,10.22,10.22,10.22,10.22,0,0.0,0
2019-07-18,10.23,10.23,10.23,10.23,0,0.0,0
2019-07-19,10.23,10.23,10.23,10.23,0,0.0,0
2019-07-22,10.23,10.23,10.23,10.23,0,0.0,0
2019-07-23,10.23,10.23,10.23,10.23,0,0.0,0
2019-07-24,10.23,10.23,10.23,10.23,0,0.0,0
2019-07-25,10.22,10.22,10.22,10.22,0,0.0,0
2019-07-26,10.22,10.22,10.22,10.22,0,0.0,0
2019-07-29,10.23,10.23,10.23,10.23,0,0.0,0
2019-07-30,10.23,10.23,10.23,10.23,0,0.013,0
2019-07-31,10.24,10.24,10.24,10.24,0,0.0,0
2019-08-01,10.29,10.29,10.29,10.29,0,0.0,0
2019-08-02,10.29,10.29,10.29,10.29,0,0.0,0
2019-08-05,10.32,10.32,10.32,10.32,0,0.0,0
2019-08-06,10.31,10.31,10.31,10.31,0,0.0,0
2019-08-07,10.32,10.32,10.32,10.32,0,0.0,0
2019-08-08,10.32,10.32,10.32,10.32,0,0.0,0
2019-08-09,10.31,10.31,10.31,10.31,0,0.0,0
2019-08-12,10.34,10.34,10.34,10.34,0,0.0,0
2019-08-13,10.31,10.31,10.31,10.31,0,0.0,0
2019-08-14,10.34,10.34,10.34,10.34,0,0.0,0
2019-08-15,10.36,10.36,10.36,10.36,0,0.0,0
2019-08-16,10.36,10.36,10.36,10.36,0,0.0,0
2019-08-19,10.34,10.34,10.34,10.34,0,0.0,0
2019-08-20,10.35,10.35,10.35,10.35,0,0.0,0
2019-08-21,10.34,10.34,10.34,10.34,0,0.0,0
2019-08-22,10.33,10.33,10.33,10.33,0,0.0,0
2019-08-23,10.36,10.36,10.36,10.36,0,0.0,0
2019-08-26,10.35,10.35,10.35,10.35,0,0.0,0
2019-08-27,10.37,10.37,10.37,10.37,0,0.0,0
2019-08-28,10.37,10.37,10.37,10.37,0,0.0,0
2019-08-29,10.36,10.36,10.36,10.36,0,0.007,0
2019-08-30,10.37,10.37,10.37,10.37,0,0.0,0
2019-09-03,10.38,10.38,10.38,10.38,0,0.0,0
2019-09-04,10.39,10.39,10.39,10.39,0,0.0,0
2019-09-05,10.35,10.35,10.35,10.35,0,0.0,0
2019-09-06,10.36,10.36,10.36,10.36,0,0.0,0
2019-09-09,10.34,10.34,10.34,10.34,0,0.0,0
2019-09-10,10.32,10.32,10.32,10.32,0,0.0,0
2019-09-11,10.31,10.31,10.31,10.31,0,0.0,0
2019-09-12,10.29,10.29,10.29,10.29,0,0.0,0
2019-09-13,10.26,10.26,10.26,10.26,0,0.0,0
2019-09-16,10.28,10.28,10.28,10.28,0,0.0,0
2019-09-17,10.29,10.29,10.29,10.29,0,0.0,0
2019-09-18,10.29,10.29,10.29,10.29,0,0.0,0
2019-09-19,10.3,10.3,10.3,10.3,0,0.0,0
2019-09-20,10.31,10.31,10.31,10.31,0,0.0,0
2019-09-23,10.33,10.33,10.33,10.33,0,0.0,0
2019-09-24,10.35,10.35,10.35,10.35,0,0.0,0
2019-09-25,10.35,10.35,10.35,10.35,0,0.0,0
2019-09-26,10.33,10.33,10.33,10.33,0,0.0,0
2019-09-27,10.34,10.34,10.34,10.34,0,0.012,0
2019-09-30,10.34,10.34,10.34,10.34,0,0.0,0
2019-10-01,10.35,10.35,10.35,10.35,0,0.0,0
2019-10-02,10.37,10.37,10.37,10.37,0,0.0,0
2019-10-03,10.39,10.39,10.39,10.39,0,0.0,0
2019-10-04,10.4,10.4,10.4,10.4,0,0.0,0
2019-10-07,10.39,10.39,10.39,10.39,0,0.0,0
2019-10-08,10.39,10.39,10.39,10.39,0,0.0,0
2019-10-09,10.38,10.38,10.38,10.38,0,0.0,0
2019-10-10,10.36,10.36,10.36,10.36,0,0.0,0
2019-10-11,10.33,10.33,10.33,10.33,0,0.0,0
2019-10-14,10.35,10.35,10.35,10.35,0,0.0,0
2019-10-15,10.33,10.33,10.33,10.33,0,0.0,0
2019-10-16,10.34,10.34,10.34,10.34,0,0.0,0
2019-10-17,10.34,10.34,10.34,10.34,0,0.0,0
2019-10-18,10.35,10.35,10.35,10.35,0,0.0,0
2019-10-21,10.34,10.34,10.34,10.34,0,0.0,0
2019-10-22,10.34,10.34,10.34,10.34,0,0.0,0
2019-10-23,10.35,10.35,10.35,10.35,0,0.0,0
2019-10-24,10.35,10.35,10.35,10.35,0,0.0,0
2019-10-25,10.34,10.34,10.34,10.34,0,0.0,0
2019-10-28,10.32,10.32,10.32,10.32,0,0.0,0
2019-10-29,10.32,10.32,10.32,10.32,0,0.0,0
2019-10-30,10.33,10.33,10.33,10.33,0,0.012,0
2019-10-31,10.36,10.36,10.36,10.36,0,0.0,0
2019-11-01,10.35,10.35,10.35,10.35,0,0.0,0
2019-11-04,10.34,10.34,10.34,10.34,0,0.0,0
2019-11-05,10.31,10.31,10.31,10.31,0,0.0,0
2019-11-06,10.33,10.33,10.33,10.33,0,0.0,0
2019-11-07,10.3,10.3,10.3,10.3,0,0.0,0
2019-11-08,10.3,10.3,10.3,10.3,0,0.0,0
2019-11-11,10.3,10.3,10.3,10.3,0,0.0,0
2019-11-12,10.31,10.31,10.31,10.31,0,0.0,0
2019-11-13,10.32,10.32,10.32,10.32,0,0.0,0
2019-11-14,10.33,10.33,10.33,10.33,0,0.0,0
2019-11-15,10.33,10.33,10.33,10.33,0,0.0,0
2019-11-18,10.34,10.34,10.34,10.34,0,0.0,0
2019-11-19,10.34,10.34,10.34,10.34,0,0.0,0
2019-11-20,10.35,10.35,10.35,10.35,0,0.0,0
2019-11-21,10.34,10.34,10.34,10.34,0,0.0,0
2019-11-22,10.33,10.33,10.33,10.33,0,0.0,0
2019-11-25,10.34,10.34,10.34,10.34,0,0.0,0
2019-11-26,10.35,10.35,10.35,10.35,0,0.0,0
2019-11-27,10.34,10.34,10.34,10.34,0,0.008,0
2019-11-29,10.34,10.34,10.34,10.34,0,0.0,0
2019-12-02,10.33,10.33,10.33,10.33,0,0.0,0
2019-12-03,10.36,10.36,10.36,10.36,0,0.0,0
2019-12-04,10.34,10.34,10.34,10.34,0,0.0,0
2019-12-05,10.34,10.34,10.34,10.34,0,0.0,0
2019-12-06,10.32,10.32,10.32,10.32,0,0.0,0
2019-12-09,10.33,10.33,10.33,10.33,0,0.0,0
2019-12-10,10.32,10.32,10.32,10.32,0,0.0,0
2019-12-11,10.34,10.34,10.34,10.34,0,0.0,0
2019-12-12,10.31,10.31,10.31,10.31,0,0.0,0
2019-12-13,10.33,10.33,10.33,10.33,0,0.0,0
2019-12-16,10.32,10.32,10.32,10.32,0,0.0,0
2019-12-17,10.32,10.32,10.32,10.32,0,0.018,0
2019-12-18,10.32,10.32,10.32,10.32,0,0.0,0
2019-12-19,10.32,10.32,10.32,10.32,0,0.0,0
2019-12-20,10.32,10.32,10.32,10.32,0,0.0,0
2019-12-23,10.32,10.32,10.32,10.32,0,0.0,0
2019-12-24,10.33,10.33,10.33,10.33,0,0.0,0
2019-12-26,10.33,10.33,10.33,10.33,0,0.0,0
2019-12-27,10.34,10.34,10.34,10.34,0,0.0,0
2019-12-30,10.35,10.35,10.35,10.35,0,0.0,0
2019-12-31,10.34,10.34,10.34,10.34,0,0.0,0
2020-01-02,10.35,10.35,10.35,10.35,0,0.0,0
2020-01-03,10.36,10.36,10.36,10.36,0,0.0,0
2020-01-06,10.36,10.36,10.36,10.36,0,0.0,0
2020-01-07,10.35,10.35,10.35,10.35,0,0.0,0
2020-01-08,10.34,10.34,10.34,10.34,0,0.0,0
2020-01-09,10.34,10.34,10.34,10.34,0,0.0,0
2020-01-10,10.35,10.35,10.35,10.35,0,0.0,0
2020-01-13,10.34,10.34,10.34,10.34,0,0.0,0
2020-01-14,10.35,10.35,10.35,10.35,0,0.0,0
2020-01-15,10.35,10.35,10.35,10.35,0,0.0,0
2020-01-16,10.35,10.35,10.35,10.35,0,0.0,0
2020-01-17,10.35,10.35,10.35,10.35,0,0.0,0
2020-01-21,10.36,10.36,10.36,10.36,0,0.0,0
2020-01-22,10.36,10.36,10.36,10.36,0,0.0,0
2020-01-23,10.37,10.37,10.37,10.37,0,0.0,0
2020-01-24,10.38,10.38,10.38,10.38,0,0.0,0
2020-01-27,10.4,10.4,10.4,10.4,0,0.0,0
2020-01-28,10.39,10.39,10.39,10.39,0,0.0,0
2020-01-29,10.4,10.4,10.4,10.4,0,0.0,0
2020-01-30,10.41,10.41,10.41,10.41,0,0.001,0
2020-01-31,10.42,10.42,10.42,10.42,0,0.0,0
2020-02-03,10.42,10.42,10.42,10.42,0,0.0,0
2020-02-04,10.4,10.4,10.4,10.4,0,0.0,0
2020-02-05,10.39,10.39,10.39,10.39,0,0.0,0
2020-02-06,10.39,10.39,10.39,10.39,0,0.0,0
2020-02-07,10.4,10.4,10.4,10.4,0,0.0,0
2020-02-10,10.42,10.42,10.42,10.42,0,0.0,0
2020-02-11,10.41,10.41,10.41,10.41,0,0.0,0
2020-02-12,10.4,10.4,10.4,10.4,0,0.0,0
2020-02-13,10.4,10.4,10.4,10.4,0,0.0,0
2020-02-14,10.41,10.41,10.41,10.41,0,0.0,0
2020-02-18,10.42,10.42,10.42,10.42,0,0.0,0
2020-02-19,10.41,10.41,10.41,10.41,0,0.0,0
2020-02-20,10.42,10.42,10.42,10.42,0,0.0,0
2020-02-21,10.43,10.43,10.43,10.43,0,0.0,0
2020-02-24,10.45,10.45,10.45,10.45,0,0.0,0
2020-02-25,10.46,10.46,10.46,10.46,0,0.0,0
2020-02-26,10.46,10.46,10.46,10.46,0,0.0,0
2020-02-27,10.47,10.47,10.47,10.47,0,0.009,0
2020-02-28,10.5,10.5,10.5,10.5,0,0.0,0
2020-03-02,10.5,10.5,10.5,10.5,0,0.0,0
2020-03-03,10.52,10.52,10.52,10.52,0,0.0,0
2020-03-04,10.53,10.53,10.53,10.53,0,0.0,0
2020-03-05,10.54,10.54,10.54,10.54,0,0.0,0
2020-03-06,10.55,10.55,10.55,10.55,0,0.0,0
2020-03-09,10.54,10.54,10.54,10.54,0,0.0,0
2020-03-10,10.49,10.49,10.49,10.49,0,0.0,0
2020-03-11,10.46,10.46,10.46,10.46,0,0.0,0
2020-03-12,10.43,10.43,10.43,10.43,0,0.0,0
2020-03-13,10.4,10.4,10.4,10.4,0,0.0,0
2020-03-16,10.42,10.42,10.42,10.42,0,0.0,0
2020-03-17,10.36,10.36,10.36,10.36,0,0.0,0
2020-03-18,10.25,10.25,10.25,10.25,0,0.0,0
2020-03-19,10.24,10.24,10.24,10.24,0,0.0,0
2020-03-20,10.18,10.18,10.18,10.18,0,0.0,0
2020-03-23,10.15,10.15,10.15,10.15,0,0.0,0
2020-03-24,10.15,10.15,10.15,10.15,0,0.0,0
2020-03-25,10.19,10.19,10.19,10.19,0,0.0,0
2020-03-26,10.24,10.24,10.24,10.24,0,0.0,0
2020-03-27,10.26,10.26,10.26,10.26,0,0.0,0
2020-03-30,10.3,10.3,10.3,10.3,0,0.014,0
2020-03-31,10.32,10.32,10.32,10.32,0,0.0,0
2020-04-01,10.31,10.31,10.31,10.31,0,0.0,0
2020-04-02,10.31,10.31,10.31,10.31,0,0.0,0
2020-04-03,10.31,10.31,10.31,10.31,0,0.0,0
2020-04-06,10.3,10.3,10.3,10.3,0,0.0,0
2020-04-07,10.3,10.3,10.3,10.3,0,0.0,0
2020-04-08,10.32,10.32,10.32,10.32,0,0.0,0
2020-04-09,10.35,10.35,10.35,10.35,0,0.0,0
2020-04-13,10.37,10.37,10.37,10.37,0,0.0,0
2020-04-14,10.39,10.39,10.39,10.39,0,0.0,0
2020-04-15,10.42,10.42,10.42,10.42,0,0.0,0
2020-04-16,10.42,10.42,10.42,10.42,0,0.0,0
2020-04-17,10.43,10.43,10.43,10.43,0,0.0,0
2020-04-20,10.43,10.43,10.43,10.43,0,0.0,0
2020-04-21,10.44,10.44,10.44,10.44,0,0.0,0
2020-04-22,10.43,10.43,10.43,10.43,0,0.0,0
2020-04-23,10.43,10.43,10.43,10.43,0,0.0,0
2020-04-24,10.44,10.44,10.44,10.44,0,0.0,0
2020-04-27,10.43,10.43,10.43,10.43,0,0.0,0
2020-04-28,10.44,10.44,10.44,10.44,0,0.0,0
2020-04-29,10.44,10.44,10.44,10.44,0,0.011,0
2020-04-30,10.44,10.44,10.44,10.44,0,0.0,0
2020-05-01,10.44,10.44,10.44,10.44,0,0.0,0
2020-05-04,10.45,10.45,10.45,10.45,0,0.0,0
2020-05-05,10.44,10.44,10.44,10.44,0,0.0,0
2020-05-06,10.44,10.44,10.44,10.44,0,0.0,0
2020-05-07,10.46,10.46,10.46,10.46,0,0.0,0
2020-05-08,10.46,10.46,10.46,10.46,0,0.0,0
2020-05-11,10.45,10.45,10.45,10.45,0,0.0,0
2020-05-12,10.46,10.46,10.46,10.46,0,0.0,0
2020-05-13,10.46,10.46,10.46,10.46,0,0.0,0
2020-05-14,10.47,10.47,10.47,10.47,0,0.0,0
2020-05-15,10.47,10.47,10.47,10.47,0,0.0,0
2020-05-18,10.46,10.46,10.46,10.46,0,0.0,0
2020-05-19,10.47,10.47,10.47,10.47,0,0.0,0
2020-05-20,10.48,10.48,10.48,10.48,0,0.0,0
2020-05-21,10.49,10.49,10.49,10.49,0,0.0,0
2020-05-22,10.49,10.49,10.49,10.49,0,0.0,0
2020-05-26,10.49,10.49,10.49,10.49,0,0.0,0
2020-05-27,10.5,10.5,10.5,10.5,0,0.0,0
2020-05-28,10.5,10.5,10.5,10.5,0,0.017,0
2020-05-29,10.52,10.52,10.52,10.52,0,0.0,0
2020-06-01,10.52,10.52,10.52,10.52,0,0.0,0
2020-06-02,10.52,10.52,10.52,10.52,0,0.0,0
2020-06-03,10.52,10.52,10.52,10.52,0,0.0,0
2020-06-04,10.52,10.52,10.52,10.52,0,0.0,0
2020-06-05,10.51,10.51,10.51,10.51,0,0.0,0
2020-06-08,10.52,10.52,10.52,10.52,0,0.0,0
2020-06-09,10.53,10.53,10.53,10.53,0,0.0,0
2020-06-10,10.54,10.54,10.54,10.54,0,0.0,0
2020-06-11,10.54,10.54,10.54,10.54,0,0.0,0
2020-06-12,10.54,10.54,10.54,10.54,0,0.0,0
2020-06-15,10.53,10.53,10.53,10.53,0,0.0,0
2020-06-16,10.54,10.54,10.54,10.54,0,0.0,0
2020-06-17,10.54,10.54,10.54,10.54,0,0.0,0
2020-06-18,10.55,10.55,10.55,10.55,0,0.0,0
2020-06-19,10.55,10.55,10.55,10.55,0,0.0,0
2020-06-22,10.55,10.55,10.55,10.55,0,0.0,0
2020-06-23,10.56,10.56,10.56,10.56,0,0.0,0
2020-06-24,10.56,10.56,10.56,10.56,0,0.0,0
2020-06-25,10.56,10.56,10.56,10.56,0,0.0,0
2020-06-26,10.57,10.57,10.57,10.57,0,0.0,0
2020-06-29,10.57,10.57,10.57,10.57,0,0.01,0
2020-06-30,10.57,10.57,10.57,10.57,0,0.0,0
2020-07-01,10.57,10.57,10.57,10.57,0,0.0,0
2020-07-02,10.58,10.58,10.58,10.58,0,0.0,0
2020-07-06,10.58,10.58,10.58,10.58,0,0.0,0
2020-07-07,10.58,10.58,10.58,10.58,0,0.0,0
2020-07-08,10.59,10.59,10.59,10.59,0,0.0,0
2020-07-09,10.59,10.59,10.59,10.59,0,0.0,0
2020-07-10,10.59,10.59,10.59,10.59,0,0.0,0
2020-07-13,10.59,10.59,10.59,10.59,0,0.0,0
2020-07-14,10.6,10.6,10.6,10.6,0,0.0,0
2020-07-15,10.6,10.6,10.6,10.6,0,0.0,0
2020-07-16,10.6,10.6,10.6,10.6,0,0.0,0
2020-07-17,10.6,10.6,10.6,10.6,0,0.0,0
2020-07-20,10.6,10.6,10.6,10.6,0,0.0,0
2020-07-21,10.61,10.61,10.61,10.61,0,0.0,0
2020-07-22,10.62,10.62,10.62,10.62,0,0.0,0
2020-07-23,10.62,10.62,10.62,10.62,0,0.0,0
2020-07-24,10.62,10.62,10.62,10.62,0,0.0,0
2020-07-27,10.61,10.61,10.61,10.61,0,0.0,0
2020-07-28,10.62,10.62,10.62,10.62,0,0.0,0
2020-07-29,10.62,10.62,10.62,10.62,0,0.0,0
2020-07-30,10.63,10.63,10.63,10.63,0,0.009,0
2020-07-31,10.63,10.63,10.63,10.63,0,0.0,0
2020-08-03,10.64,10.64,10.64,10.64,0,0.0,0
2020-08-04,10.64,10.64,10.64,10.64,0,0.0,0
2020-08-05,10.64,10.64,10.64,10.64,0,0.0,0
2020-08-06,10.64,10.64,10.64,10.64,0,0.0,0
2020-08-07,10.64,10.64,10.64,10.64,0,0.0,0
2020-08-10,10.64,10.64,10.64,10.64,0,0.0,0
2020-08-11,10.62,10.62,10.62,10.62,0,0.0,0
2020-08-12,10.62,10.62,10.62,10.62,0,0.0,0
2020-08-13,10.61,10.61,10.61,10.61,0,0.0,0
2020-08-14,10.61,10.61,10.61,10.61,0,0.0,0
2020-08-17,10.61,10.61,10.61,10.61,0,0.0,0
2020-08-18,10.62,10.62,10.62,10.62,0,0.0,0
2020-08-19,10.62,10.62,10.62,10.62,0,0.0,0
2020-08-20,10.62,10.62,10.62,10.62,0,0.0,0
2020-08-21,10.62,10.62,10.62,10.62,0,0.0,0
2020-08-24,10.62,10.62,10.62,10.62,0,0.0,0
2020-08-25,10.61,10.61,10.61,10.61,0,0.0,0
2020-08-26,10.62,10.62,10.62,10.62,0,0.0,0
2020-08-27,10.61,10.61,10.61,10.61,0,0.0,0
2020-08-28,10.62,10.62,10.62,10.62,0,0.012,0
2020-08-31,10.63,10.63,10.63,10.63,0,0.0,0
2020-09-01,10.63,10.63,10.63,10.63,0,0.0,0
2020-09-02,10.63,10.63,10.63,10.63,0,0.0,0
2020-09-03,10.64,10.64,10.64,10.64,0,0.0,0
2020-09-04,10.62,10.62,10.62,10.62,0,0.0,0
2020-09-08,10.62,10.62,10.62,10.62,0,0.0,0
2020-09-09,10.62,10.62,10.62,10.62,0,0.0,0
2020-09-10,10.62,10.62,10.62,10.62,0,0.0,0
2020-09-11,10.63,10.63,10.63,10.63,0,0.0,0
2020-09-14,10.62,10.62,10.62,10.62,0,0.0,0
2020-09-15,10.62,10.62,10.62,10.62,0,0.0,0
2020-09-16,10.62,10.62,10.62,10.62,0,0.0,0
2020-09-17,10.62,10.62,10.62,10.62,0,0.0,0
2020-09-18,10.61,10.61,10.61,10.61,0,0.0,0
2020-09-21,10.61,10.61,10.61,10.61,0,0.0,0
2020-09-22,10.61,10.61,10.61,10.61,0,0.0,0
2020-09-23,10.61,10.61,10.61,10.61,0,0.0,0
2020-09-24,10.61,10.61,10.61,10.61,0,0.0,0
2020-09-25,10.61,10.61,10.61,10.61,0,0.0,0
2020-09-28,10.61,10.61,10.61,10.61,0,0.0,0
